2018/05/22-11:04 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'webStatFilter' to urls: [/*]
2018/05/22-11:04 [main] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure- Init DruidDataSource
2018/05/22-11:04 [main] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} inited
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter- Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@72ef8d15: startup date [Tue May 22 11:04:44 CST 2018]; root of context hierarchy
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/test],methods=[GET]}" onto public java.lang.Object com.example.ddd.crawler.controller.CrawlerController.test(java.lang.String)
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/ZhiBo8],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawlerZhiBo8(java.lang.String)
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/9to5],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawler9to5(java.lang.String)
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/washArticle],methods=[POST]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.washArticle(java.lang.String) throws java.io.IOException,org.xml.sax.SAXException
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/159Cai],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawler159Cai(java.lang.String)
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:04 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:04 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Registering beans for JMX exposure on startup
2018/05/22-11:04 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'statFilter' has been autodetected for JMX exposure
2018/05/22-11:04 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'dataSource' has been autodetected for JMX exposure
2018/05/22-11:04 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
2018/05/22-11:04 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
2018/05/22-11:04 [main] INFO  org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor- No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018/05/22-11:04 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 8080 (http) with context path ''
2018/05/22-11:04 [main] INFO  com.example.ddd.DddApplication- Started DddApplication in 5.283 seconds (JVM running for 6.007)
2018/05/22-11:04 [nioEventLoopGroup-4-1] INFO  io.netty.handler.logging.LoggingHandler- [id: 0xe9753ad5] REGISTERED
2018/05/22-11:04 [nioEventLoopGroup-4-1] INFO  io.netty.handler.logging.LoggingHandler- [id: 0xe9753ad5] BIND: 0.0.0.0/0.0.0.0:9903
2018/05/22-11:04 [nioEventLoopGroup-4-1] INFO  io.netty.handler.logging.LoggingHandler- [id: 0xe9753ad5, L:/0:0:0:0:0:0:0:0:9903] ACTIVE
2018/05/22-11:05 [Thread-15] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@72ef8d15: startup date [Tue May 22 11:04:44 CST 2018]; root of context hierarchy
2018/05/22-11:05 [Thread-15] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans on shutdown
2018/05/22-11:05 [Thread-15] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans
2018/05/22-11:05 [Thread-15] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} closed
2018/05/22-11:05 [main] INFO  com.example.ddd.DddApplication- Starting DddApplication on dddddeMacBook-Pro.local with PID 77323 (/Users/dddd/java/ddd/target/classes started by dddd in /Users/dddd/java/ddd)
2018/05/22-11:05 [main] INFO  com.example.ddd.DddApplication- No active profile set, falling back to default profiles: default
2018/05/22-11:05 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6950ed69: startup date [Tue May 22 11:05:12 CST 2018]; root of context hierarchy
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultAuthorMapper' and 'com.example.ddd.mybatis.mapper.ConsultAuthorMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultClassMapper' and 'com.example.ddd.mybatis.mapper.ConsultClassMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultMapper' and 'com.example.ddd.mybatis.mapper.ConsultMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'liveStreamBindMapper' and 'com.example.ddd.mybatis.mapper.LiveStreamBindMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'matchMapper' and 'com.example.ddd.mybatis.mapper.MatchMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'userMapper' and 'com.example.ddd.mybatis.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- No MyBatis mapper was found in '[com.example.ddd]' package. Please check your configuration.
2018/05/22-11:05 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate- Multiple Spring Data modules found, entering strict repository configuration mode!
2018/05/22-11:05 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker- Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$92570e7c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018/05/22-11:05 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8080 (http)
2018/05/22-11:05 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
2018/05/22-11:05 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet Engine: Apache Tomcat/8.5.29
2018/05/22-11:05 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/dddd/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 1504 ms
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet dispatcherServlet mapped to [/]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet statViewServlet mapped to [/druid/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'characterEncodingFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'requestContextFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'webStatFilter' to urls: [/*]
2018/05/22-11:05 [main] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure- Init DruidDataSource
2018/05/22-11:05 [main] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} inited
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter- Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6950ed69: startup date [Tue May 22 11:05:12 CST 2018]; root of context hierarchy
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/test],methods=[GET]}" onto public java.lang.Object com.example.ddd.crawler.controller.CrawlerController.test(java.lang.String)
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/159Cai],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawler159Cai(java.lang.String)
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/ZhiBo8],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawlerZhiBo8(java.lang.String)
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/9to5],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawler9to5(java.lang.String)
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/washArticle],methods=[POST]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.washArticle(java.lang.String) throws java.io.IOException,org.xml.sax.SAXException
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:05 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:05 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Registering beans for JMX exposure on startup
2018/05/22-11:05 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'statFilter' has been autodetected for JMX exposure
2018/05/22-11:05 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Bean with name 'dataSource' has been autodetected for JMX exposure
2018/05/22-11:05 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
2018/05/22-11:05 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
2018/05/22-11:05 [main] INFO  org.springframework.scheduling.annotation.ScheduledAnnotationBeanPostProcessor- No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018/05/22-11:05 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat started on port(s): 8080 (http) with context path ''
2018/05/22-11:05 [main] INFO  com.example.ddd.DddApplication- Started DddApplication in 5.125 seconds (JVM running for 5.817)
2018/05/22-11:05 [Thread-14] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6950ed69: startup date [Tue May 22 11:05:12 CST 2018]; root of context hierarchy
2018/05/22-11:05 [Thread-14] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans on shutdown
2018/05/22-11:05 [Thread-14] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans
2018/05/22-11:05 [Thread-14] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} closed
2018/05/22-11:05 [main] INFO  com.example.ddd.DddApplication- Starting DddApplication on dddddeMacBook-Pro.local with PID 77333 (/Users/dddd/java/ddd/target/classes started by dddd in /Users/dddd/java/ddd)
2018/05/22-11:05 [main] INFO  com.example.ddd.DddApplication- No active profile set, falling back to default profiles: default
2018/05/22-11:05 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4416d64f: startup date [Tue May 22 11:05:36 CST 2018]; root of context hierarchy
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultAuthorMapper' and 'com.example.ddd.mybatis.mapper.ConsultAuthorMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultClassMapper' and 'com.example.ddd.mybatis.mapper.ConsultClassMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultMapper' and 'com.example.ddd.mybatis.mapper.ConsultMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'liveStreamBindMapper' and 'com.example.ddd.mybatis.mapper.LiveStreamBindMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'matchMapper' and 'com.example.ddd.mybatis.mapper.MatchMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'userMapper' and 'com.example.ddd.mybatis.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:05 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- No MyBatis mapper was found in '[com.example.ddd]' package. Please check your configuration.
2018/05/22-11:05 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate- Multiple Spring Data modules found, entering strict repository configuration mode!
2018/05/22-11:05 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker- Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$719ad527] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018/05/22-11:05 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8080 (http)
2018/05/22-11:05 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
2018/05/22-11:05 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet Engine: Apache Tomcat/8.5.29
2018/05/22-11:05 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/dddd/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 1990 ms
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet dispatcherServlet mapped to [/]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet statViewServlet mapped to [/druid/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'characterEncodingFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'requestContextFilter' to: [/*]
2018/05/22-11:05 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'webStatFilter' to urls: [/*]
2018/05/22-11:05 [main] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure- Init DruidDataSource
2018/05/22-11:11 [main] INFO  com.example.ddd.DddNettyTcpApplication- Starting DddNettyTcpApplication on dddddeMacBook-Pro.local with PID 77379 (/Users/dddd/java/ddd/target/classes started by dddd in /Users/dddd/java/ddd)
2018/05/22-11:11 [main] INFO  com.example.ddd.DddNettyTcpApplication- No active profile set, falling back to default profiles: default
2018/05/22-11:11 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@20bd8be5: startup date [Tue May 22 11:11:42 CST 2018]; root of context hierarchy
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultAuthorMapper' and 'com.example.ddd.mybatis.mapper.ConsultAuthorMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultClassMapper' and 'com.example.ddd.mybatis.mapper.ConsultClassMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultMapper' and 'com.example.ddd.mybatis.mapper.ConsultMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'liveStreamBindMapper' and 'com.example.ddd.mybatis.mapper.LiveStreamBindMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'matchMapper' and 'com.example.ddd.mybatis.mapper.MatchMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'userMapper' and 'com.example.ddd.mybatis.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-11:11 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- No MyBatis mapper was found in '[com.example.ddd]' package. Please check your configuration.
2018/05/22-11:11 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate- Multiple Spring Data modules found, entering strict repository configuration mode!
2018/05/22-11:11 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker- Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$351191f6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018/05/22-11:11 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8080 (http)
2018/05/22-11:11 [main] INFO  org.apache.catalina.core.StandardService- Starting service [Tomcat]
2018/05/22-11:11 [main] INFO  org.apache.catalina.core.StandardEngine- Starting Servlet Engine: Apache Tomcat/8.5.29
2018/05/22-11:11 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener- The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/dddd/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader- Root WebApplicationContext: initialization completed in 2431 ms
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet dispatcherServlet mapped to [/]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean- Servlet statViewServlet mapped to [/druid/*]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'characterEncodingFilter' to: [/*]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'requestContextFilter' to: [/*]
2018/05/22-11:11 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean- Mapping filter: 'webStatFilter' to urls: [/*]
2018/05/22-11:11 [main] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure- Init DruidDataSource
2018/05/22-11:11 [main] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} inited
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter- Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@20bd8be5: startup date [Tue May 22 11:11:42 CST 2018]; root of context hierarchy
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/test],methods=[GET]}" onto public java.lang.Object com.example.ddd.crawler.controller.CrawlerController.test(java.lang.String)
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/159Cai],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawler159Cai(java.lang.String)
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/ZhiBo8],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawlerZhiBo8(java.lang.String)
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/9to5],methods=[GET]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.crawler9to5(java.lang.String)
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/crawler/washArticle],methods=[POST]}" onto public java.lang.String com.example.ddd.crawler.controller.CrawlerController.washArticle(java.lang.String) throws java.io.IOException,org.xml.sax.SAXException
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018/05/22-11:11 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
